timestamp,open,high,low,close,volume
2023-10-01,21.2,24.5,21.0,24.1,5000000
2023-10-02,24.1,24.8,23.1,23.5,4500000
2023-10-03,23.5,24.0,22.8,23.1,3800000
2023-10-04,23.1,23.6,22.5,23.4,3200000
2023-10-05,23.4,23.8,22.9,23.2,3000000
2023-10-06,23.2,23.7,22.8,23.5,3500000
2023-10-07,23.5,23.9,23.3,23.7,2800000
2023-10-08,23.7,24.1,23.4,23.6,2900000
2023-10-09,23.6,23.8,22.1,22.4,4100000
2023-10-10,22.4,22.6,21.8,22.1,3600000
2023-10-11,22.1,22.4,21.5,21.7,3300000
2023-10-12,21.7,21.9,21.1,21.4,3800000
2023-10-13,21.4,22.1,21.3,21.9,3100000
2023-10-14,21.9,22.3,21.7,21.8,2500000
2023-10-15,21.8,22.4,21.6,22.1,2700000
2023-10-16,22.1,24.2,22.0,23.8,6500000
2023-10-17,23.8,24.5,23.5,24.1,4800000
2023-10-18,24.1,24.4,23.2,23.8,4200000
2023-10-19,23.8,26.5,23.6,26.1,8500000
2023-10-20,26.1,27.4,25.8,26.8,7600000
2023-10-21,26.8,29.5,26.5,29.1,9800000
2023-10-22,29.1,30.2,28.5,29.8,8900000
2023-10-23,29.8,32.4,29.5,31.5,12000000
2023-10-24,31.5,33.8,30.2,32.4,11500000
2023-10-25,32.4,33.5,31.1,32.8,9500000
2023-10-26,32.8,33.1,31.8,32.2,8200000
2023-10-27,32.2,32.8,31.5,32.5,7800000
2023-10-28,32.5,33.2,32.1,32.4,6500000
2023-10-29,32.4,34.5,32.2,34.1,8800000
2023-10-30,34.1,36.2,33.5,35.8,10500000
2023-10-31,35.8,38.5,35.5,38.1,13500000
